id,area,delay,status,recipe,ADP,delay_bucket
8378,17618.78,802.49,SUCCESS,resub -z | resub -z | refactor | rewrite -z | refactor -z | balance | rewrite -z | refactor | rewrite -z | rewrite | rewrite | refactor | refactor -z | refactor | resub | refactor | rewrite -z | balance | rewrite -z | resub,14138894.7622,0
8843,17798.06,789.57,SUCCESS,refactor | rewrite -z | refactor | resub | refactor | rewrite | refactor -z | rewrite | refactor | refactor -z | refactor -z | balance | refactor -z | refactor | refactor | resub | rewrite -z | rewrite -z | rewrite -z | rewrite -z,14052814.234200003,0
906,17925.47,802.07,SUCCESS,refactor | refactor | refactor | rewrite -z | refactor -z | resub -z | resub -z | resub -z | rewrite | refactor -z | balance | balance | resub -z | resub -z | refactor | resub | rewrite -z | balance | rewrite | rewrite -z,14377481.722900001,0
6267,18083.48,801.2,SUCCESS,resub -z | rewrite -z | refactor -z | resub -z | rewrite -z | resub | balance | refactor | resub -z | rewrite | balance | rewrite | refactor -z | refactor | resub -z | balance | rewrite -z | balance | balance | rewrite -z,14488484.176,0
9203,18183.76,800.65,SUCCESS,resub | resub | rewrite -z | resub | rewrite -z | resub -z | balance | balance | refactor -z | resub | rewrite | balance | rewrite | refactor -z | rewrite -z | balance | resub | balance | balance | resub -z,14558827.443999998,0
8268,18268.35,796.92,SUCCESS,resub | rewrite | refactor | refactor | rewrite -z | refactor -z | resub | resub | rewrite -z | resub | rewrite | refactor -z | resub | resub -z | balance | balance | rewrite | rewrite -z | resub -z | resub,14558413.481999999,0
5497,18425.29,791.84,SUCCESS,rewrite | rewrite -z | refactor -z | balance | resub | refactor | resub | resub | rewrite -z | refactor -z | resub -z | resub -z | resub | resub | balance | resub | refactor -z | refactor -z | refactor | rewrite -z,14589881.633600002,0
4762,18549.24,783.23,SUCCESS,rewrite | rewrite -z | refactor -z | refactor -z | balance | resub | resub | resub -z | rewrite | balance | rewrite -z | resub | resub -z | refactor -z | refactor -z | resub -z | rewrite -z | resub | rewrite | resub,14528321.2452,0
5994,18821.1,802.24,SUCCESS,rewrite -z | rewrite -z | rewrite | resub -z | refactor -z | balance | balance | refactor | rewrite -z | resub | resub -z | resub | rewrite -z | refactor -z | refactor | rewrite | rewrite | balance | rewrite -z | resub -z,15099039.263999999,0
6182,17197.43,810.82,SUCCESS,rewrite | rewrite | refactor -z | refactor -z | rewrite | rewrite -z | balance | balance | rewrite -z | resub -z | refactor | rewrite -z | balance | rewrite -z | balance | balance | resub | refactor -z | refactor -z | rewrite,13944020.1926,1
9966,17417.68,821.32,SUCCESS,rewrite -z | resub | refactor -z | resub | refactor -z | refactor -z | refactor -z | rewrite | resub | refactor -z | resub -z | refactor | refactor -z | rewrite | refactor -z | rewrite | rewrite -z | rewrite -z | resub | refactor -z,14305488.937600002,1
6799,17565.58,812.0,SUCCESS,resub | rewrite -z | refactor -z | balance | resub -z | resub | rewrite -z | refactor | resub | rewrite -z | balance | refactor -z | rewrite | resub -z | refactor -z | refactor -z | refactor | balance | rewrite -z | balance,14263250.96,1
8244,17650.16,809.88,SUCCESS,rewrite | resub | refactor | resub -z | rewrite | rewrite -z | refactor -z | refactor -z | refactor | balance | refactor | resub | rewrite -z | resub | rewrite -z | balance | resub | rewrite -z | balance | refactor,14294511.5808,1
8014,17754.44,816.33,SUCCESS,refactor | resub -z | rewrite -z | rewrite | resub | refactor | refactor -z | refactor | refactor | refactor | balance | balance | refactor -z | rewrite -z | rewrite -z | balance | refactor | refactor | rewrite | resub -z,14493482.0052,1
9546,17927.87,822.19,SUCCESS,resub | resub | rewrite -z | refactor -z | resub | rewrite | resub -z | resub | refactor | resub -z | balance | refactor -z | refactor | resub -z | balance | rewrite -z | balance | rewrite -z | resub | resub,14740115.4353,1
9760,18024.16,818.52,SUCCESS,rewrite | rewrite -z | resub -z | refactor -z | resub | rewrite -z | rewrite -z | resub -z | refactor | rewrite | resub | resub -z | refactor -z | balance | refactor | balance | resub -z | rewrite -z | resub -z | resub -z,14753135.4432,1
6780,18139.87,821.82,SUCCESS,rewrite -z | refactor -z | balance | balance | resub | refactor | rewrite | balance | refactor | rewrite | balance | balance | refactor -z | resub | rewrite -z | refactor -z | resub -z | refactor -z | refactor | rewrite -z,14907707.9634,1
8612,18159.02,812.55,SUCCESS,resub | rewrite -z | refactor -z | balance | resub | rewrite | resub | resub -z | rewrite -z | rewrite | resub | refactor -z | rewrite | resub -z | resub -z | rewrite | balance | resub -z | rewrite -z | resub,14755111.701,1
8692,18285.64,815.39,SUCCESS,rewrite -z | resub | resub | rewrite -z | rewrite | refactor | resub | resub -z | rewrite -z | refactor -z | resub -z | resub -z | rewrite | resub -z | rewrite -z | rewrite | refactor -z | resub | rewrite -z | balance,14909927.999599999,1
2433,17256.75,833.2,SUCCESS,refactor -z | refactor -z | refactor | refactor -z | refactor -z | refactor | balance | resub | refactor | balance | rewrite | refactor -z | refactor | resub -z | refactor | resub | refactor -z | refactor -z | resub | refactor,14378324.100000001,2
2190,17366.08,824.97,SUCCESS,refactor -z | resub -z | refactor -z | refactor | resub -z | rewrite | refactor -z | resub | balance | refactor | refactor | resub | refactor | balance | resub | rewrite | balance | resub | rewrite | resub,14326495.017600002,2
32,17512.91,840.13,SUCCESS,refactor -z | refactor -z | resub -z | balance | resub -z | rewrite | rewrite | balance | balance | resub -z | rewrite | resub -z | resub | rewrite | refactor | refactor -z | refactor | refactor -z | balance | refactor -z,14713121.0783,2
3741,17686.34,828.06,SUCCESS,rewrite -z | refactor | resub | refactor | refactor | refactor | rewrite | refactor -z | refactor -z | rewrite | rewrite | rewrite -z | resub -z | rewrite -z | resub -z | balance | refactor | refactor | refactor | rewrite -z,14645350.700399999,2
7779,17778.11,827.09,SUCCESS,resub | rewrite -z | balance | refactor | refactor -z | resub -z | refactor -z | resub -z | balance | balance | balance | refactor | rewrite -z | refactor | rewrite -z | rewrite | balance | refactor | resub | balance,14704096.9999,2
4404,17850.2,828.97,SUCCESS,resub -z | rewrite | rewrite | rewrite -z | refactor -z | rewrite -z | resub -z | resub -z | refactor | rewrite | refactor -z | resub | balance | refactor -z | refactor | refactor -z | balance | rewrite | refactor | rewrite -z,14797280.294000002,2
4095,17867.75,838.25,SUCCESS,refactor -z | balance | rewrite -z | balance | balance | refactor -z | rewrite -z | rewrite | resub | rewrite -z | resub -z | refactor -z | resub | resub -z | refactor | balance | rewrite | resub | refactor -z | resub,14977641.4375,2
176,17870.41,837.21,SUCCESS,refactor -z | rewrite | refactor -z | resub -z | refactor | balance | resub | resub -z | rewrite -z | rewrite -z | balance | rewrite | refactor -z | refactor -z | rewrite -z | resub -z | rewrite -z | balance | refactor | rewrite -z,14961285.9561,2
1585,17915.63,835.55,SUCCESS,rewrite -z | refactor | balance | refactor -z | resub -z | refactor -z | resub -z | refactor | balance | refactor | resub | rewrite -z | rewrite -z | resub | balance | refactor | resub | balance | rewrite | resub -z,14969404.6465,2
1273,17917.23,839.12,SUCCESS,resub -z | resub -z | refactor | refactor -z | refactor | refactor | resub -z | refactor -z | resub -z | resub | refactor | resub | refactor | refactor -z | refactor | balance | resub | resub -z | refactor | rewrite,15034706.0376,2
2825,16863.6,848.79,SUCCESS,refactor -z | refactor -z | refactor -z | resub -z | refactor | resub -z | balance | refactor -z | rewrite | rewrite | balance | rewrite | resub -z | refactor -z | refactor -z | refactor | refactor -z | refactor -z | resub | refactor -z,14313655.043999998,3
260,17391.61,852.09,SUCCESS,rewrite -z | rewrite | refactor -z | refactor -z | refactor -z | refactor -z | refactor -z | balance | rewrite -z | balance | refactor -z | refactor | balance | rewrite -z | resub | refactor | balance | rewrite -z | refactor -z | refactor -z,14819216.964900002,3
3782,17502.0,848.97,SUCCESS,rewrite | rewrite -z | refactor -z | refactor -z | resub -z | refactor -z | balance | resub -z | resub | resub | refactor -z | rewrite -z | refactor -z | refactor -z | resub | balance | balance | rewrite -z | resub | resub -z,14858672.940000001,3
4874,17529.93,859.74,SUCCESS,refactor | rewrite -z | rewrite | refactor | refactor | refactor -z | resub -z | refactor -z | refactor | rewrite -z | balance | rewrite -z | balance | rewrite | rewrite -z | rewrite | balance | rewrite -z | resub -z | balance,15071182.0182,3
6535,17636.07,842.82,SUCCESS,rewrite -z | refactor -z | refactor -z | resub | rewrite -z | rewrite | rewrite | rewrite -z | resub -z | resub -z | balance | resub | refactor | balance | resub -z | resub -z | refactor | balance | balance | rewrite -z,14864032.5174,3
3908,17641.65,853.17,SUCCESS,resub | rewrite -z | rewrite | resub -z | resub -z | refactor -z | resub -z | refactor -z | refactor -z | balance | refactor -z | resub | resub -z | refactor | resub | resub | resub -z | refactor | rewrite -z | resub -z,15051326.5305,3
1874,17652.29,858.75,SUCCESS,rewrite | resub | rewrite -z | resub | refactor -z | balance | refactor -z | refactor | resub | rewrite -z | balance | refactor | rewrite | resub -z | resub | rewrite -z | resub -z | resub -z | balance | refactor,15158904.037500001,3
5547,17732.36,859.73,SUCCESS,rewrite | refactor | refactor -z | refactor -z | resub | resub | rewrite | rewrite | resub | resub | resub | balance | refactor -z | rewrite | balance | refactor | resub -z | refactor | refactor | resub,15245041.8628,3
856,17742.47,860.61,SUCCESS,refactor | rewrite -z | resub -z | rewrite | resub | refactor -z | balance | rewrite -z | refactor -z | rewrite | rewrite -z | balance | rewrite | balance | refactor | balance | resub -z | resub | balance | refactor,15269347.106700001,3
1145,17781.57,850.21,SUCCESS,rewrite -z | refactor -z | refactor -z | balance | rewrite -z | rewrite | refactor | balance | resub | resub -z | resub | refactor -z | balance | resub | refactor -z | balance | refactor | resub | refactor | rewrite -z,15118068.629700001,3
5177,17116.04,867.05,SUCCESS,refactor -z | refactor -z | refactor | resub | resub | rewrite -z | rewrite -z | resub -z | balance | refactor | rewrite -z | rewrite -z | balance | rewrite -z | balance | refactor | resub | resub | rewrite | balance,14840462.482,4
9540,17156.2,876.19,SUCCESS,refactor -z | resub -z | refactor -z | resub | rewrite | resub | refactor -z | refactor -z | refactor | balance | rewrite -z | rewrite | resub -z | resub -z | refactor | resub -z | rewrite | rewrite | rewrite -z | rewrite,15032090.878000002,4
2860,17206.21,867.7,SUCCESS,rewrite -z | refactor -z | refactor -z | refactor -z | rewrite | rewrite -z | resub -z | balance | rewrite -z | refactor | refactor -z | rewrite -z | rewrite -z | rewrite -z | resub | refactor -z | balance | refactor -z | resub -z | resub -z,14929828.417,4
5373,17257.55,874.17,SUCCESS,refactor -z | refactor -z | rewrite | resub | refactor -z | refactor -z | resub | refactor | resub -z | refactor | balance | balance | refactor | resub | refactor | refactor | refactor -z | resub -z | refactor | balance,15086032.483499998,4
6500,17318.99,878.74,SUCCESS,refactor -z | refactor -z | balance | rewrite -z | refactor | refactor -z | refactor | balance | refactor | resub | resub | rewrite -z | refactor -z | rewrite | rewrite | balance | rewrite | refactor | rewrite -z | balance,15218889.2726,4
321,17346.39,865.47,SUCCESS,refactor | resub -z | resub | resub | rewrite -z | resub -z | refactor | refactor -z | balance | rewrite | refactor -z | rewrite -z | rewrite | resub -z | refactor | rewrite | balance | resub -z | rewrite -z | balance,15012780.1533,4
