id,area,delay,status,recipe,ADP,delay_bucket
3404,16812.0,134227.38,SUCCESS,refactor | rewrite -z | rewrite -z | rewrite -z | resub -z | balance | resub | rewrite -z | resub -z | resub | resub -z | balance | rewrite | rewrite | resub | resub -z | rewrite | rewrite | rewrite | refactor -z,2256630712.56,0
2384,17483.91,133438.34,SUCCESS,refactor -z | refactor -z | resub -z | resub -z | resub -z | rewrite -z | rewrite -z | rewrite -z | rewrite -z | rewrite | rewrite -z | resub | resub | rewrite -z | refactor | rewrite | refactor -z | balance | resub -z | resub,2333023927.1094,0
4442,17565.84,133211.5,SUCCESS,refactor -z | refactor -z | rewrite -z | resub -z | resub -z | resub -z | rewrite -z | refactor | refactor -z | rewrite | refactor | refactor | rewrite | rewrite -z | balance | balance | resub -z | rewrite -z | resub | balance,2339971895.16,0
3798,17798.86,134644.31,SUCCESS,refactor | refactor -z | refactor -z | rewrite -z | refactor -z | resub | refactor | resub | refactor | balance | resub -z | resub -z | rewrite -z | resub -z | resub -z | resub -z | balance | refactor | refactor | rewrite,2396515223.4866,0
1796,17891.43,136763.83,SUCCESS,refactor -z | refactor -z | resub -z | resub -z | refactor | resub | rewrite -z | resub -z | balance | rewrite -z | rewrite -z | rewrite -z | balance | rewrite -z | rewrite -z | resub -z | resub | refactor | balance | resub,2446900490.9768996,0
718,20755.18,136384.06,SUCCESS,refactor -z | refactor -z | rewrite -z | resub | resub -z | rewrite -z | resub | resub | refactor -z | refactor -z | refactor -z | balance | resub | rewrite -z | balance | rewrite | rewrite -z | rewrite | balance | rewrite,2830675714.4308,0
4659,17038.9,138759.14,SUCCESS,balance | refactor -z | refactor -z | resub -z | rewrite -z | refactor | refactor -z | rewrite -z | rewrite | refactor | rewrite -z | refactor | resub -z | resub -z | refactor | rewrite -z | resub -z | resub -z | rewrite | refactor -z,2364303110.5460005,1
9264,17640.32,139654.61,SUCCESS,balance | refactor | rewrite -z | refactor -z | refactor | balance | refactor | rewrite -z | balance | resub -z | refactor | rewrite | resub | balance | refactor | balance | resub -z | refactor -z | resub -z | resub,2463552009.8752,1
7844,17673.31,140540.0,SUCCESS,balance | refactor -z | refactor -z | resub | balance | rewrite -z | rewrite -z | rewrite | balance | resub -z | resub -z | resub | refactor | resub -z | balance | resub -z | balance | rewrite | rewrite | resub -z,2483806987.4,1
4970,18047.83,137613.27,SUCCESS,refactor | balance | rewrite -z | rewrite -z | resub -z | refactor | refactor -z | resub | resub | resub | balance | balance | rewrite | balance | rewrite -z | refactor -z | rewrite -z | refactor -z | refactor | resub -z,2483620902.7041,1
6206,18178.97,137574.25,SUCCESS,refactor -z | refactor -z | rewrite -z | refactor | rewrite | balance | balance | refactor | resub | resub | rewrite -z | resub -z | balance | refactor -z | refactor | refactor | refactor | resub | balance | refactor -z,2500958163.5225,1
8068,18202.38,140510.44,SUCCESS,refactor -z | refactor -z | resub -z | balance | rewrite -z | balance | refactor | resub -z | balance | balance | refactor | rewrite -z | resub -z | resub -z | resub | balance | resub | refactor -z | resub | refactor,2557624422.8472004,1
738,18571.32,138943.73,SUCCESS,balance | refactor | balance | balance | rewrite -z | balance | refactor | rewrite | balance | resub -z | balance | rewrite -z | balance | balance | refactor -z | balance | refactor | resub -z | refactor -z | refactor -z,2580368471.8236003,1
7843,18912.6,139832.92,SUCCESS,balance | refactor | rewrite -z | balance | resub -z | rewrite -z | resub | balance | resub | balance | resub -z | rewrite -z | refactor | refactor -z | refactor | rewrite | refactor -z | refactor -z | refactor | rewrite -z,2644604082.792,1
5560,19175.41,138526.91,SUCCESS,refactor | rewrite -z | rewrite | resub | balance | resub | rewrite -z | resub | refactor -z | refactor | balance | rewrite -z | refactor -z | rewrite -z | refactor | resub | rewrite | refactor | resub -z | rewrite,2656310295.2831,1
4701,19638.78,138422.34,SUCCESS,resub -z | refactor -z | refactor | refactor | balance | resub -z | resub -z | resub -z | resub | balance | resub | refactor -z | refactor -z | resub -z | refactor -z | refactor | refactor | refactor | refactor -z | rewrite -z,2718445882.3451996,1
6127,17253.29,143874.62,SUCCESS,balance | rewrite -z | rewrite | resub | resub -z | resub | rewrite | refactor | refactor | refactor -z | resub -z | resub | resub | refactor -z | resub -z | rewrite | refactor -z | balance | resub | refactor -z,2482310542.4998,2
7373,17398.53,143829.02,SUCCESS,refactor | rewrite -z | refactor | balance | rewrite | resub -z | refactor | resub -z | rewrite | resub -z | resub | balance | balance | balance | refactor -z | balance | resub | balance | refactor -z | refactor,2502413519.3405995,2
1207,18218.34,140684.97,SUCCESS,refactor -z | refactor | refactor -z | resub | resub | rewrite -z | rewrite | rewrite | resub -z | resub | refactor | resub | balance | rewrite -z | balance | balance | balance | refactor -z | refactor | resub,2563046616.3498,2
5149,18233.77,142398.88,SUCCESS,balance | refactor -z | resub | rewrite -z | refactor -z | rewrite | balance | rewrite -z | balance | rewrite | refactor | resub -z | refactor -z | resub | balance | resub | balance | resub | resub -z | resub,2596468426.1776004,2
298,18234.3,143762.27,SUCCESS,balance | refactor -z | refactor -z | resub | resub | refactor -z | rewrite -z | rewrite -z | refactor -z | resub | resub | refactor | rewrite | rewrite | resub | resub | balance | rewrite | resub -z | refactor -z,2621404359.8609996,2
7697,18241.75,143168.17,SUCCESS,balance | refactor -z | resub | rewrite -z | balance | rewrite -z | rewrite | refactor -z | rewrite | rewrite -z | balance | rewrite -z | balance | resub | refactor -z | refactor -z | refactor | resub | balance | refactor -z,2611637965.0975003,2
4931,18255.85,142465.84,SUCCESS,refactor -z | refactor | rewrite -z | refactor -z | refactor -z | refactor | rewrite | resub | resub -z | resub -z | refactor -z | refactor | resub -z | resub -z | rewrite -z | refactor -z | rewrite | refactor | balance | resub -z,2600835005.1639996,2
9292,18256.64,142639.45,SUCCESS,refactor -z | refactor | refactor | rewrite -z | refactor -z | refactor | refactor | rewrite -z | refactor -z | rewrite | resub | refactor -z | balance | balance | balance | resub -z | refactor | balance | resub | resub,2604117088.448,2
4491,18264.62,143094.31,SUCCESS,refactor -z | refactor -z | rewrite -z | balance | refactor -z | rewrite | refactor -z | refactor -z | resub | rewrite | resub | resub -z | rewrite | rewrite -z | balance | refactor | refactor | refactor -z | refactor | refactor,2613563196.3121996,2
7478,18272.07,143934.89,SUCCESS,refactor -z | rewrite -z | rewrite | resub -z | refactor -z | balance | balance | refactor -z | rewrite -z | refactor | refactor | rewrite | refactor | refactor | balance | refactor -z | refactor | balance | balance | balance,2629988385.5223002,2
7842,17280.42,144700.98,SUCCESS,balance | rewrite -z | resub | refactor | rewrite | resub | refactor -z | resub -z | rewrite | balance | refactor | balance | balance | rewrite | resub -z | rewrite | balance | refactor -z | refactor -z | refactor -z,2500493708.8115997,3
9114,17424.06,146645.34,SUCCESS,balance | balance | refactor -z | refactor -z | rewrite -z | rewrite -z | refactor -z | balance | rewrite -z | refactor | balance | resub | resub | resub | rewrite | resub | resub | refactor -z | refactor -z | resub,2555157202.8804,3
8202,17604.94,146580.83,SUCCESS,rewrite -z | resub | rewrite -z | refactor | rewrite -z | refactor | refactor -z | resub | balance | balance | rewrite -z | resub | rewrite | rewrite | refactor -z | refactor -z | resub -z | rewrite | rewrite -z | refactor -z,2580546717.3001995,3
5912,17952.07,144275.94,SUCCESS,refactor -z | refactor -z | resub -z | resub -z | rewrite -z | rewrite | rewrite -z | balance | resub | resub | balance | rewrite -z | refactor -z | resub -z | refactor -z | refactor | resub | resub -z | rewrite -z | rewrite,2590051774.1958,3
7087,18239.62,144646.06,SUCCESS,refactor -z | refactor | rewrite -z | rewrite -z | refactor -z | resub -z | resub | resub -z | resub | resub | resub | refactor -z | resub | balance | rewrite -z | balance | balance | rewrite -z | resub -z | balance,2638289168.8971996,3
3364,18245.21,144296.88,SUCCESS,refactor -z | refactor -z | refactor -z | rewrite -z | refactor | balance | refactor | rewrite -z | refactor | resub -z | refactor -z | resub | refactor -z | resub | resub | resub | resub | refactor -z | resub | balance,2632726877.9448,3
5859,18248.66,145741.22,SUCCESS,refactor -z | balance | rewrite | rewrite -z | rewrite | rewrite | balance | refactor -z | resub | rewrite | rewrite | resub -z | refactor | resub -z | rewrite | refactor | resub | rewrite | rewrite -z | balance,2659581971.7652,3
3385,18261.43,146041.89,SUCCESS,balance | refactor -z | rewrite -z | refactor -z | rewrite -z | balance | refactor -z | resub -z | refactor -z | refactor | rewrite | refactor -z | rewrite -z | refactor -z | rewrite | refactor | rewrite | resub -z | refactor | rewrite -z,2666933751.3027005,3
1351,18377.41,146997.09,SUCCESS,refactor -z | balance | refactor -z | refactor | refactor -z | resub | balance | refactor -z | rewrite -z | resub | resub -z | balance | balance | refactor -z | resub | resub | balance | refactor -z | balance | resub -z,2701425791.7369,3
8752,18439.65,144563.47,SUCCESS,refactor -z | rewrite -z | refactor | rewrite -z | balance | rewrite -z | rewrite -z | rewrite | resub -z | balance | refactor | refactor -z | rewrite -z | rewrite -z | rewrite -z | rewrite | refactor -z | refactor -z | refactor -z | rewrite -z,2665699789.5855002,3
5366,16851.9,150743.66,SUCCESS,refactor | refactor -z | refactor -z | refactor | rewrite -z | rewrite -z | rewrite | refactor -z | resub | resub | resub | refactor -z | rewrite | refactor -z | balance | refactor | resub | rewrite | resub | refactor -z,2540317083.9540005,4
1151,17051.66,149962.06,SUCCESS,refactor | refactor | rewrite -z | resub -z | refactor | rewrite | resub -z | refactor | resub | resub | resub -z | balance | rewrite -z | resub -z | refactor -z | rewrite -z | resub | resub | resub | refactor -z,2557102060.0196,4
9965,17362.88,148198.66,SUCCESS,rewrite -z | refactor -z | balance | resub | balance | resub -z | balance | resub -z | balance | resub | resub | rewrite | resub | balance | balance | resub -z | resub -z | refactor | resub | refactor -z,2573155549.7408004,4
8351,17448.8,151520.3,SUCCESS,refactor | rewrite -z | rewrite -z | resub -z | rewrite -z | refactor -z | resub | balance | resub -z | resub -z | rewrite | refactor -z | refactor -z | resub -z | rewrite -z | resub -z | rewrite -z | resub | rewrite -z | rewrite -z,2643847410.64,4
199,17521.95,150389.81,SUCCESS,balance | refactor | rewrite -z | rewrite -z | resub | rewrite -z | resub | refactor -z | refactor -z | resub -z | rewrite -z | rewrite | refactor -z | refactor -z | rewrite -z | refactor -z | rewrite -z | refactor -z | resub | refactor -z,2635122731.3295,4
7431,17920.15,149488.36,SUCCESS,refactor -z | refactor -z | resub -z | rewrite -z | refactor | rewrite | rewrite | refactor | rewrite | balance | resub | refactor | balance | rewrite -z | refactor -z | resub | rewrite -z | refactor -z | refactor | resub,2678853834.454,4
6059,18489.66,150673.52,SUCCESS,refactor -z | refactor -z | refactor | resub -z | refactor -z | refactor | refactor -z | resub -z | resub | resub -z | rewrite -z | resub -z | refactor | refactor -z | resub | rewrite -z | refactor -z | rewrite | balance | rewrite,2785902155.8032,4
916,18522.64,150115.06,SUCCESS,refactor -z | resub -z | rewrite -z | rewrite -z | refactor | refactor | balance | balance | resub -z | refactor -z | resub | resub | refactor -z | rewrite | balance | resub -z | refactor -z | refactor | rewrite | refactor,2780527214.9584,4
618,18528.5,148812.05,SUCCESS,refactor -z | rewrite -z | balance | refactor | resub | refactor | refactor | balance | resub -z | rewrite -z | rewrite | refactor -z | refactor -z | rewrite | refactor | rewrite -z | resub -z | balance | rewrite -z | balance,2757264068.4249997,4
3899,18554.56,148139.55,SUCCESS,refactor -z | balance | rewrite -z | resub -z | resub | refactor | resub | balance | rewrite | rewrite -z | resub -z | refactor -z | balance | balance | resub -z | balance | refactor | rewrite | rewrite -z | balance,2748664168.848,4
