id,area,delay,status,recipe
4,18578.5,1170.14,SUCCESS,balance | refactor -z | resub -z | resub | resub | resub | refactor -z | rewrite | balance | balance | refactor | resub | refactor -z | rewrite | refactor -z | refactor | balance | refactor | rewrite -z | rewrite -z
18,17463.43,1081.78,SUCCESS,rewrite -z | refactor -z | refactor -z | balance | balance | rewrite -z | rewrite | refactor | resub | resub | balance | refactor -z | rewrite -z | rewrite -z | refactor | refactor -z | resub | balance | resub -z | refactor
3,19949.73,1224.13,SUCCESS,balance | refactor | balance | balance | resub | balance | resub -z | rewrite -z | rewrite | rewrite -z | resub | balance | refactor -z | rewrite -z | refactor -z | refactor | refactor -z | refactor | resub -z | resub
5,19170.09,1156.73,SUCCESS,balance | resub | rewrite -z | resub | rewrite | balance | resub -z | refactor -z | rewrite -z | refactor -z | rewrite -z | rewrite | balance | refactor | rewrite -z | refactor | refactor -z | refactor | refactor | resub -z
8,19123.54,1076.58,SUCCESS,rewrite | rewrite | resub -z | refactor | resub -z | balance | refactor -z | resub -z | refactor | refactor | rewrite | rewrite | refactor -z | resub | refactor | rewrite -z | rewrite | refactor -z | refactor -z | refactor
10,19939.09,1161.67,SUCCESS,rewrite | refactor | refactor | balance | resub -z | rewrite -z | refactor | resub | balance | rewrite | resub | refactor | refactor -z | resub -z | rewrite | refactor | resub | rewrite | resub -z | refactor
2,19802.1,1176.45,SUCCESS,balance | rewrite -z | balance | resub -z | refactor | balance | rewrite -z | resub | balance | rewrite | refactor -z | rewrite -z | resub | resub | resub -z | refactor | rewrite | rewrite | rewrite | resub -z
7,18752.2,1047.23,SUCCESS,rewrite | balance | rewrite | refactor | rewrite -z | refactor -z | resub -z | refactor -z | resub | rewrite | rewrite | rewrite | refactor -z | refactor -z | refactor | refactor | refactor -z | rewrite | resub -z | resub -z
0,20172.11,1071.89,SUCCESS,balance | balance | balance | resub | rewrite | resub -z | resub | refactor | refactor | refactor | refactor -z | resub -z | refactor | resub | resub -z | resub -z | refactor -z | resub | resub -z | rewrite -z
17,18606.43,1117.85,SUCCESS,rewrite -z | refactor | resub -z | rewrite -z | rewrite | refactor -z | resub | balance | rewrite | rewrite -z | rewrite | balance | rewrite -z | refactor -z | refactor | resub | resub | rewrite -z | resub | refactor -z
14,18596.59,812.36,SUCCESS,rewrite -z | balance | resub | balance | balance | refactor -z | resub -z | refactor -z | rewrite -z | resub | rewrite -z | balance | rewrite -z | rewrite | refactor -z | resub -z | resub | resub -z | resub -z | refactor -z
