id,area,delay,status,recipe
6,20805.99,179752.45,SUCCESS,balance | resub -z | resub | balance | refactor | rewrite -z | resub -z | resub | resub | refactor -z | rewrite | resub -z | rewrite | rewrite -z | refactor -z | balance | resub | balance | rewrite -z | resub -z
0,19273.03,167928.23,SUCCESS,balance | balance | rewrite | resub -z | rewrite -z | rewrite | rewrite | refactor -z | rewrite | refactor | resub | rewrite | resub | rewrite -z | balance | balance | balance | refactor -z | balance | resub
19,22381.24,169094.62,SUCCESS,rewrite -z | resub | refactor | rewrite | rewrite -z | resub -z | resub -z | rewrite -z | refactor | resub -z | refactor | resub -z | resub | resub | rewrite | resub -z | balance | refactor | resub -z | resub
18,19659.79,191543.27,SUCCESS,rewrite -z | refactor -z | rewrite -z | rewrite | resub | rewrite | refactor | balance | rewrite -z | balance | resub | balance | resub | refactor | refactor | resub | resub | refactor -z | refactor | rewrite -z
17,19721.24,189073.75,SUCCESS,rewrite -z | refactor | refactor | balance | resub -z | balance | rewrite -z | refactor -z | resub -z | refactor | rewrite | resub -z | rewrite | resub -z | rewrite | resub | rewrite -z | resub -z | refactor -z | rewrite -z
3,20886.05,149161.62,SUCCESS,balance | refactor | resub | rewrite | resub -z | resub | resub | rewrite -z | refactor | resub -z | rewrite -z | refactor -z | resub | refactor | balance | balance | rewrite -z | balance | balance | rewrite -z
5,20932.6,179290.95,SUCCESS,balance | resub | refactor | resub | refactor | balance | resub | refactor -z | resub | balance | balance | balance | refactor | refactor -z | resub -z | rewrite -z | resub -z | resub -z | refactor -z | resub
13,19765.93,177932.75,SUCCESS,rewrite | resub -z | balance | refactor | rewrite -z | refactor | resub -z | balance | rewrite | refactor | resub | balance | resub | refactor -z | refactor -z | resub -z | refactor | refactor -z | resub | rewrite
16,20140.72,164440.55,SUCCESS,rewrite -z | rewrite -z | resub | balance | balance | refactor | balance | resub -z | balance | rewrite -z | rewrite | rewrite | resub -z | resub | rewrite -z | rewrite | resub -z | rewrite | resub | resub -z
15,17239.19,170052.45,SUCCESS,rewrite -z | rewrite | rewrite | refactor -z | rewrite -z | rewrite -z | balance | rewrite | resub | rewrite -z | resub -z | refactor -z | rewrite | refactor -z | refactor -z | refactor | refactor -z | balance | refactor -z | resub
14,19393.53,182699.08,SUCCESS,rewrite -z | balance | refactor | refactor | rewrite -z | refactor -z | rewrite | rewrite -z | resub -z | resub -z | refactor | rewrite -z | resub -z | rewrite -z | resub | rewrite | refactor -z | balance | rewrite -z | refactor -z
2,20658.36,190640.88,SUCCESS,balance | rewrite -z | rewrite | balance | refactor -z | resub | resub -z | resub | rewrite -z | rewrite | rewrite | resub -z | refactor | rewrite | resub -z | rewrite -z | rewrite -z | rewrite | refactor -z | refactor
8,20412.31,167680.86,SUCCESS,rewrite | rewrite | refactor -z | rewrite -z | rewrite -z | refactor -z | rewrite | balance | rewrite | resub -z | rewrite | rewrite -z | refactor -z | rewrite -z | resub -z | refactor | resub | resub -z | rewrite -z | refactor
1,21183.18,178681.61,SUCCESS,balance | rewrite | refactor -z | refactor | refactor -z | rewrite -z | rewrite -z | resub | rewrite | rewrite | rewrite | rewrite -z | refactor | balance | resub -z | rewrite -z | resub | balance | rewrite -z | rewrite
9,20734.7,160455.97,SUCCESS,rewrite | rewrite -z | balance | rewrite -z | refactor -z | rewrite -z | refactor | rewrite | rewrite -z | refactor | resub | refactor -z | resub -z | balance | refactor -z | resub -z | refactor -z | rewrite | rewrite -z | rewrite -z
4,18975.38,157183.5,SUCCESS,balance | refactor -z | rewrite -z | refactor -z | balance | resub -z | resub | resub | refactor | refactor -z | refactor -z | refactor -z | refactor | rewrite | resub | resub | rewrite | balance | resub -z | refactor
11,20727.25,177195.25,SUCCESS,rewrite | refactor -z | resub | refactor -z | refactor | rewrite | rewrite | rewrite | refactor -z | resub -z | resub | balance | refactor | rewrite | refactor | refactor | resub | refactor | refactor -z | resub
12,19295.11,170103.86,SUCCESS,rewrite | resub | refactor | balance | rewrite -z | resub -z | rewrite -z | rewrite -z | rewrite | resub -z | rewrite -z | rewrite | resub | refactor -z | refactor | resub | refactor -z | refactor | resub -z | refactor
10,20805.99,185107.97,SUCCESS,rewrite | refactor | rewrite -z | resub | rewrite | rewrite -z | resub -z | refactor -z | refactor -z | refactor | refactor -z | refactor | rewrite | refactor -z | resub | refactor | resub | rewrite -z | refactor | refactor
7,20562.86,164114.3,SUCCESS,rewrite | balance | refactor | refactor -z | balance | resub | balance | refactor -z | refactor -z | balance | resub | refactor | resub -z | refactor | rewrite | refactor | refactor -z | resub | refactor | refactor -z
20,19806.09,194711.95,SUCCESS,rewrite -z | resub -z | rewrite | refactor -z | rewrite -z | resub -z | rewrite | resub -z | resub -z | refactor | refactor -z | rewrite -z | rewrite | rewrite | rewrite | balance | balance | rewrite -z | rewrite | resub
21,18979.9,179730.34,SUCCESS,refactor | balance | refactor -z | refactor | refactor | resub | refactor -z | resub -z | refactor -z | rewrite -z | resub -z | balance | rewrite -z | resub -z | refactor -z | resub | refactor -z | refactor -z | balance | rewrite -z
30,19052.25,182604.91,SUCCESS,refactor -z | rewrite -z | resub -z | resub | balance | balance | resub | rewrite -z | rewrite | resub -z | balance | refactor -z | balance | resub -z | rewrite -z | resub | resub | resub -z | resub -z | refactor
